Time,Amount,RiskScore,Class,Hour,risk_tier
11080.0,1.0,147.03,1,3.0,Medium Risk
93824.0,8.54,146.86,1,2.0,Medium Risk
93834.0,0.01,145.51,1,2.0,Medium Risk
93823.0,75.86,144.37,1,2.0,Medium Risk
12597.0,1.0,144.35,1,3.0,Medium Risk
11629.0,1.0,143.82,1,3.0,Medium Risk
14073.0,1.0,140.03,1,3.0,Medium Risk
13323.0,1.0,139.5,1,3.0,Medium Risk
14152.0,1.0,138.6,1,3.0,Medium Risk
93742.0,1.0,137.21,1,2.0,Medium Risk
17520.0,1.0,137.16,1,4.0,Medium Risk
41147.0,88.23,136.6,1,11.0,Medium Risk
41116.0,3.79,134.92,1,11.0,Medium Risk
93856.0,209.65,134.13,1,2.0,High Risk
41138.0,340.11,133.63,1,11.0,High Risk
11131.0,1.0,133.53,1,3.0,Medium Risk
93853.0,44.9,133.43,1,2.0,Medium Risk
93853.0,44.9,133.43,1,2.0,Medium Risk
40892.0,0.76,133.18,1,11.0,Medium Risk
41164.0,5.3,132.85,1,11.0,Medium Risk
93853.0,316.06,131.0,1,2.0,High Risk
93853.0,316.06,131.0,1,2.0,High Risk
41203.0,88.23,129.54,1,11.0,Medium Risk
41170.0,83.38,129.47,1,11.0,Medium Risk
18399.0,1.0,129.42,1,5.0,Medium Risk
13126.0,1.0,129.21,1,3.0,Medium Risk
41194.0,1.52,128.03,1,11.0,Medium Risk
41181.0,11.38,127.84,1,11.0,Medium Risk
18690.0,1.0,127.4,1,5.0,Medium Risk
19762.0,1.0,127.22,1,5.0,Medium Risk
17838.0,766.36,126.64,1,4.0,High Risk
41233.0,0.0,126.46,1,11.0,Medium Risk
93860.0,188.52,126.25,1,2.0,High Risk
93860.0,188.52,126.25,1,2.0,High Risk
41237.0,118.3,126.11,1,11.0,High Risk
41227.0,459.07,126.04,1,11.0,High Risk
93860.0,78.0,125.91,1,2.0,Medium Risk
93860.0,78.0,125.91,1,2.0,Medium Risk
41204.0,30.26,125.88,1,11.0,Medium Risk
20011.0,1.0,125.79,1,5.0,Medium Risk
20332.0,1.0,124.35,1,5.0,Medium Risk
93879.0,30.31,124.25,1,2.0,Medium Risk
93879.0,30.31,124.25,1,2.0,Medium Risk
17044.0,1.0,123.18,0,4.0,Medium Risk
20451.0,1.0,122.92,1,5.0,Medium Risk
93904.0,37.93,122.23,1,2.0,Medium Risk
17789.0,89.99,122.06,0,4.0,Medium Risk
20931.0,1.0,121.49,1,5.0,Medium Risk
93897.0,1.0,121.44,1,2.0,Medium Risk
41243.0,45.49,121.09,1,11.0,Medium Risk
18064.0,89.99,120.78,0,5.0,Medium Risk
93888.0,1.0,120.73,1,2.0,Medium Risk
21046.0,1.0,120.05,1,5.0,Medium Risk
93920.0,97.0,119.94,1,2.0,Medium Risk
93879.0,104.03,119.92,1,2.0,High Risk
93879.0,104.03,119.92,1,2.0,High Risk
18675.0,188.78,119.64,1,5.0,High Risk
18088.0,1218.89,119.46,1,5.0,High Risk
18359.0,89.99,119.44,0,5.0,Medium Risk
41285.0,37.32,119.31,1,11.0,Medium Risk
21419.0,1.0,118.62,1,5.0,Medium Risk
18709.0,89.99,118.09,0,5.0,Medium Risk
41273.0,173.07,117.46,1,11.0,High Risk
21662.0,1.0,117.19,1,6.0,Medium Risk
20823.0,1.0,116.55,0,5.0,Medium Risk
41305.0,59.68,115.69,1,11.0,Medium Risk
21177.0,89.99,115.37,0,5.0,Medium Risk
41397.0,273.01,114.33,1,11.0,High Risk
93965.0,11.4,114.21,1,2.0,Medium Risk
41308.0,0.76,114.04,1,11.0,Medium Risk
21377.0,89.99,113.96,0,5.0,Medium Risk
21570.0,89.99,112.61,0,5.0,Medium Risk
21860.0,89.99,111.26,0,6.0,Medium Risk
41353.0,34.12,110.87,1,11.0,Medium Risk
22690.0,89.99,109.91,0,6.0,Medium Risk
41413.0,106.55,109.38,1,11.0,High Risk
95559.0,1.63,109.25,1,2.0,Medium Risk
97121.0,8.64,109.04,1,2.0,Medium Risk
95628.0,1.63,108.77,1,2.0,Medium Risk
22731.0,89.99,108.56,0,6.0,Medium Risk
41505.0,364.19,108.5,1,11.0,High Risk
23665.0,89.99,107.21,0,6.0,Medium Risk
94364.0,1.0,106.27,1,2.0,Medium Risk
94141.0,45.48,106.07,1,2.0,Medium Risk
23698.0,89.99,105.86,0,6.0,Medium Risk
23903.0,89.99,104.51,0,6.0,Medium Risk
41313.0,9.99,104.04,1,11.0,Medium Risk
24120.0,89.99,103.16,0,6.0,Medium Risk
41607.0,53.95,102.39,1,11.0,Medium Risk
100223.0,2.28,101.92,1,3.0,Medium Risk
24145.0,89.99,101.81,0,6.0,Medium Risk
97235.0,9.82,100.71,1,3.0,Medium Risk
24342.0,89.99,100.46,0,6.0,Medium Risk
24532.0,89.99,99.11,0,6.0,Medium Risk
24735.0,89.99,97.76,0,6.0,Medium Risk
24955.0,89.99,96.41,0,6.0,Medium Risk
41851.0,139.9,96.15,1,11.0,High Risk
84204.0,512.25,95.12,1,23.0,High Risk
